54
0 1
1 4
2 7
3 7
4 7
5 7
6 7
7 7
8 7
9 7
10 7
11 2
12 7
13 7
14 1
15 7
16 7
17 2
18 7
19 7
20 7
21 7
22 7
23 7
24 7
25 7
26 4
27 7
28 3
29 7
30 6
31 7
32 7
33 7
34 7
35 7
36 7
37 7
38 5
39 3
40 7
41 7
42 7
43 7
44 7
45 7
46 7
47 7
48 7
49 7
50 7
51 5
52 7
53 6
0 3 1
0 4 7
1 4 7
1 5 4
2 5 7
2 6 7
3 7 7
4 8 7
5 9 7
6 10 7
7 11 7
7 12 2
8 12 7
8 13 7
9 13 7
9 14 7
10 14 7
10 15 7
11 16 7
12 17 2
13 18 7
14 19 1
15 20 7
16 21 7
16 22 7
17 22 7
17 23 7
18 23 7
18 24 7
19 24 7
19 25 7
20 25 7
20 26 7
21 27 7
22 28 7
23 29 7
24 30 7
25 31 7
26 32 4
27 33 7
28 33 7
28 34 3
29 34 7
29 35 7
30 35 7
30 36 6
31 36 7
31 37 7
32 37 7
33 38 7
34 39 3
35 40 7
36 41 7
37 42 7
38 43 5
39 43 7
39 44 7
40 44 7
40 45 7
41 45 7
41 46 7
42 46 7
43 47 7
44 48 7
45 49 7
46 50 7
47 51 5
48 51 7
48 52 7
49 52 7
49 53 7
50 53 6
